State,Year,rounded_time,num_fatalities_time
NSW,2007,1:00:00 AM,14
NSW,2007,2:00:00 AM,13
NSW,2007,3:00:00 AM,8
NSW,2007,4:00:00 AM,5
NSW,2007,5:00:00 AM,8
NSW,2007,6:00:00 AM,14
NSW,2007,7:00:00 AM,16
NSW,2007,8:00:00 AM,15
NSW,2007,9:00:00 AM,21
NSW,2007,10:00:00 AM,19
NSW,2007,11:00:00 AM,20
NSW,2007,12:00:00 PM,22
NSW,2007,1:00:00 PM,17
NSW,2007,2:00:00 PM,24
NSW,2007,3:00:00 PM,29
NSW,2007,4:00:00 PM,39
NSW,2007,5:00:00 PM,23
NSW,2007,6:00:00 PM,27
NSW,2007,7:00:00 PM,24
NSW,2007,8:00:00 PM,21
NSW,2007,9:00:00 PM,15
