State,Month,Year,Dayweek,Time,Crash Type,Number Fatalities
NSW,2,2022,Tuesday,15:00,Multiple,1
Vic,2,2022,Friday,6:00,Single,1
Vic,2,2022,Sunday,16:00,Multiple,1
Vic,2,2022,Saturday,9:00,Multiple,1
Qld,2,2022,Sunday,12:00,Multiple,1
Qld,2,2022,Saturday,23:00,Single,1
Qld,2,2022,Wednesday,9:00,Single,2
Qld,2,2022,Tuesday,6:00,Single,1
SA,2,2022,Sunday,13:00,Single,1
SA,2,2022,Saturday,21:00,Single,1
SA,2,2022,Saturday,19:00,Single,1
Tas,2,2022,Tuesday,6:00,Multiple,1
NT,2,2022,Saturday,21:00,Multiple,1
NSW,2,2022,Wednesday,21:00,Single,1
NSW,2,2022,Saturday,16:00,Multiple,1
Vic,2,2022,Tuesday,13:00,Multiple,1
Vic,2,2022,Friday,13:00,Single,1
Vic,2,2022,Saturday,23:00,Single,1
Vic,2,2022,Thursday,17:00,Multiple,1
Vic,2,2022,Wednesday,7:00,Multiple,1
Qld,2,2022,Saturday,14:00,Single,1
Qld,2,2022,Sunday,21:00,Single,1
SA,2,2022,Tuesday,9:00,Multiple,1
NSW,2,2022,Sunday,19:00,Multiple,1
NSW,2,2022,Thursday,13:00,Single,1
Vic,2,2022,Wednesday,6:00,Multiple,1
Vic,2,2022,Monday,21:00,Single,1
Vic,2,2022,Sunday,14:00,Single,1
Qld,2,2022,Sunday,20:00,Single,1
Qld,2,2022,Wednesday,4:00,Single,1
Qld,2,2022,Friday,6:00,Single,1
Qld,2,2022,Friday,22:00,Single,1
Qld,2,2022,Tuesday,16:00,Multiple,1
