State,Year,Month,Fatalities,Day,Date
NSW,2013,Aug,33,8,2013-8-1
NSW,2013,Sep,15,9,2013-9-1
NSW,2013,Oct,37,10,2013-10-1
NSW,2013,Nov,34,11,2013-11-1
NSW,2013,Dec,28,12,2013-12-1
NSW,2014,Jan,34,1,2014-1-1
NSW,2014,Feb,29,2,2014-2-1
NSW,2014,Mar,26,3,2014-3-1
NSW,2014,Apr,20,4,2014-4-1
NSW,2014,May,30,5,2014-5-1
NSW,2014,Jun,25,6,2014-6-1
NSW,2014,Jul,19,7,2014-7-1
NSW,2014,Aug,27,8,2014-8-1
NSW,2014,Sep,24,9,2014-9-1
NSW,2014,Oct,26,10,2014-10-1
NSW,2014,Nov,29,11,2014-11-1
NSW,2014,Dec,18,12,2014-12-1
NSW,2015,Jan,37,1,2015-1-1
NSW,2015,Feb,16,2,2015-2-1
NSW,2015,Mar,24,3,2015-3-1
NSW,2015,Apr,24,4,2015-4-1
NSW,2015,May,35,5,2015-5-1
NSW,2015,Jun,25,6,2015-6-1
NSW,2015,Jul,31,7,2015-7-1
NSW,2015,Aug,40,8,2015-8-1
NSW,2015,Sep,26,9,2015-9-1
NSW,2015,Oct,32,10,2015-10-1
NSW,2015,Nov,32,11,2015-11-1
NSW,2015,Dec,28,12,2015-12-1
NSW,2016,Jan,25,1,2016-1-1
NSW,2016,Feb,32,2,2016-2-1
NSW,2016,Mar,32,3,2016-3-1
NSW,2016,Apr,44,4,2016-4-1
NSW,2016,May,31,5,2016-5-1
NSW,2016,Jun,34,6,2016-6-1
NSW,2016,Jul,30,7,2016-7-1
NSW,2016,Aug,36,8,2016-8-1
NSW,2016,Sep,32,9,2016-9-1
NSW,2016,Oct,31,10,2016-10-1
NSW,2016,Nov,25,11,2016-11-1
NSW,2016,Dec,28,12,2016-12-1
NSW,2017,Jan,30,1,2017-1-1
NSW,2017,Feb,18,2,2017-2-1
NSW,2017,Mar,28,3,2017-3-1
NSW,2017,Apr,31,4,2017-4-1
NSW,2017,May,35,5,2017-5-1
NSW,2017,Jun,31,6,2017-6-1
NSW,2017,Jul,40,7,2017-7-1
NSW,2017,Aug,41,8,2017-8-1
NSW,2017,Sep,29,9,2017-9-1
NSW,2017,Oct,28,10,2017-10-1
NSW,2017,Nov,38,11,2017-11-1
NSW,2017,Dec,40,12,2017-12-1
NSW,2018,Jan,37,1,2018-1-1
NSW,2018,Feb,32,2,2018-2-1
NSW,2018,Mar,24,3,2018-3-1
NSW,2018,Apr,31,4,2018-4-1
NSW,2018,May,25,5,2018-5-1
NSW,2018,Jun,21,6,2018-6-1
NSW,2018,Jul,31,7,2018-7-1
NSW,2018,Aug,38,8,2018-8-1
NSW,2018,Sep,34,9,2018-9-1
NSW,2018,Oct,21,10,2018-10-1
NSW,2018,Nov,25,11,2018-11-1
NSW,2018,Dec,28,12,2018-12-1
NSW,2019,Jan,38,1,2019-1-1
NSW,2019,Feb,28,2,2019-2-1
NSW,2019,Mar,41,3,2019-3-1
NSW,2019,Apr,28,4,2019-4-1
NSW,2019,May,20,5,2019-5-1
NSW,2019,Jun,26,6,2019-6-1
NSW,2019,Jul,23,7,2019-7-1
NSW,2019,Aug,31,8,2019-8-1
NSW,2019,Sep,33,9,2019-9-1
