State,Year,Day,num_fatalities_heatmap,Time,,
NSW,1990,Tuesday,4,10,,
NSW,1990,Tuesday,3,11,,
NSW,1990,Tuesday,4,12,,
NSW,1990,Tuesday,2,13,,
NSW,1990,Tuesday,5,14,,
NSW,1990,Tuesday,4,15,,
NSW,1990,Tuesday,10,16,,
NSW,1990,Tuesday,5,17,,
NSW,1990,Tuesday,1,18,,
NSW,1990,Tuesday,3,19,,
NSW,1990,Tuesday,1,20,,
NSW,1990,Tuesday,4,21,,
NSW,1990,Tuesday,2,22,,
NSW,1990,Tuesday,3,23,,
NSW,1990,Wednesday,5,0,,
NSW,1990,Wednesday,2,2,,
NSW,1990,Wednesday,1,4,,
NSW,1990,Wednesday,5,6,,
NSW,1990,Wednesday,4,7,,
NSW,1990,Wednesday,2,8,,
NSW,1990,Wednesday,5,9,,
NSW,1990,Wednesday,3,10,,
NSW,1990,Wednesday,2,11,,
NSW,1990,Wednesday,2,12,,
NSW,1990,Wednesday,7,14,,
NSW,1990,Wednesday,12,15,,
NSW,1990,Wednesday,9,16,,
NSW,1990,Wednesday,9,17,,
NSW,1990,Wednesday,15,18,,
NSW,1990,Wednesday,4,19,,
NSW,1990,Wednesday,2,20,,
NSW,1990,Wednesday,3,21,,
NSW,1990,Wednesday,6,22,,
NSW,1990,Wednesday,1,23,,
NSW,1990,Thursday,9,0,,
NSW,1990,Thursday,4,1,,
NSW,1990,Thursday,5,2,,
NSW,1990,Thursday,2,3,,
NSW,1990,Thursday,4,4,,
NSW,1990,Thursday,3,5,,
NSW,1990,Thursday,4,6,,
NSW,1990,Thursday,3,7,,
NSW,1990,Thursday,5,8,,
NSW,1990,Thursday,5,9,,
NSW,1990,Thursday,3,10,,
NSW,1990,Thursday,2,11,,
NSW,1990,Thursday,9,12,,
NSW,1990,Thursday,5,13,,
NSW,1990,Thursday,5,14,,
NSW,1990,Thursday,7,15,,
NSW,1990,Thursday,5,16,,
NSW,1990,Thursday,8,17,,
NSW,1990,Thursday,16,18,,
NSW,1990,Thursday,3,19,,
NSW,1990,Thursday,5,20,,
NSW,1990,Thursday,9,21,,
NSW,1990,Thursday,7,22,,
NSW,1990,Thursday,6,23,,
NSW,1990,Friday,4,0,,
NSW,1990,Friday,10,1,,
NSW,1990,Friday,1,2,,
NSW,1990,Friday,4,3,,
NSW,1990,Friday,2,5,,
NSW,1990,Friday,1,6,,
NSW,1990,Friday,1,7,,
NSW,1990,Friday,5,8,,
NSW,1990,Friday,2,9,,
NSW,1990,Friday,1,10,,
